post_id,posted_at,date,year_month,hour,weekday,is_weekend,time_slot,platform,content_type,content_family,category,rate_valid,is_vertical,vertical_segment,influencer_tier,tier_rank,follower_count,follower_band,likes,comments,shares,saves,views,engagement_total,engagement_core,er_follower_reported,er_follower,er_view,deep_rate,save_rate,share_rate,comment_rate,like_rate,eng_per_1k_fans,reach_ratio,hashtag_count,hashtag_bucket,content_length,sentiment,has_media,is_verified
POST_04605,2024-01-02 20:22:00,2024-01-02,2024-01,20,Tuesday,0,18-23 Evening,TikTok,Video,Short video,Travel,0,0,Other,Macro,3,241082,200k-1M,18977,966,2147,2235,8088,24325,22090,9.16,10.089928,300.754204,54.179031,27.633531,26.5455,11.94362,234.631553,100.899279,0.033549,5,1-5,369,Negative,0,0
POST_02119,2024-01-02 21:41:00,2024-01-02,2024-01,21,Tuesday,0,18-23 Evening,Instagram,Carousel,Static image,Entertainment,1,0,Other,Mid-tier,2,67464,50k-200k,1874,467,16,688,30977,3045,2357,3.49,4.513518,9.829874,2.272654,2.221003,0.051651,1.50757,6.04965,45.135183,0.459163,11,11-20,1458,Positive,1,1
POST_00401,2024-01-02 21:55:00,2024-01-02,2024-01,21,Tuesday,0,18-23 Evening,Instagram,Photo,Static image,Business,1,0,Other,Macro,3,292298,200k-1M,1867,125,281,286,44911,2559,2273,0.78,0.875476,5.697936,1.262497,0.636815,0.625682,0.278328,4.157111,8.754764,0.153648,6,6-10,1262,Negative,1,0
POST_01803,2024-01-03 00:42:00,2024-01-03,2024-01,0,Wednesday,0,00-05 Late night,Twitter,Poll,Story / interactive,Sports,1,1,Sports,Macro,3,148659,50k-200k,4926,205,1317,466,28491,6914,6448,4.34,4.650912,24.267312,6.258117,1.635604,4.622512,0.719525,17.28967,46.509125,0.191653,7,6-10,1597,Neutral,1,0
POST_03737,2024-01-03 03:35:00,2024-01-03,2024-01,3,Wednesday,0,00-05 Late night,LinkedIn,Poll,Story / interactive,Lifestyle,1,0,Other,Macro,3,190618,50k-200k,1383,123,32,59,6603,1597,1538,0.81,0.837801,24.185976,1.378161,0.893533,0.484628,1.86279,20.945025,8.378013,0.03464,13,11-20,1506,Neutral,0,0
POST_03162,2024-01-03 04:16:00,2024-01-03,2024-01,4,Wednesday,0,00-05 Late night,Instagram,Reel,Short video,Education,1,0,Other,Macro,3,499770,200k-1M,8387,360,179,945,13360,9871,8926,1.79,1.975109,73.884731,8.413174,7.073353,1.33982,2.694611,62.776946,19.751085,0.026732,20,11-20,172,Neutral,1,0
POST_00426,2024-01-03 09:46:00,2024-01-03,2024-01,9,Wednesday,0,06-11 Morning,Facebook,Video,Short video,Sports,1,1,Sports,Macro,3,487579,200k-1M,5540,375,632,402,73879,6949,6547,1.34,1.425205,9.40592,1.399586,0.544133,0.855453,0.507587,7.498748,14.252049,0.151522,15,11-20,353,Neutral,1,0
POST_00363,2024-01-03 13:28:00,2024-01-03,2024-01,13,Wednesday,0,12-17 Afternoon,Facebook,Post,Text / long-form,Technology,1,0,Other,Micro,1,29036,10k-50k,1048,256,457,393,75334,2154,1761,6.06,7.418377,2.859267,1.128309,0.521677,0.606632,0.33982,1.391138,74.183772,2.594503,29,21-30,1717,Negative,1,0
POST_01038,2024-01-04 00:19:00,2024-01-04,2024-01,0,Thursday,0,00-05 Late night,LinkedIn,Post,Text / long-form,Technology,1,0,Other,Macro,3,402762,200k-1M,1708,113,456,259,26761,2536,2277,0.57,0.629652,9.476477,2.671799,0.967826,1.703972,0.422256,6.382422,6.296523,0.066444,19,11-20,764,Positive,1,1
POST_04592,2024-01-04 05:36:00,2024-01-04,2024-01,5,Thursday,0,00-05 Late night,Instagram,Story,Story / interactive,Technology,1,0,Other,Macro,3,245871,200k-1M,6145,224,238,517,45738,7124,6607,2.69,2.897454,15.57567,1.650706,1.130351,0.520355,0.489746,13.435218,28.974544,0.186024,15,11-20,1954,Positive,1,0
POST_00159,2024-01-04 10:49:00,2024-01-04,2024-01,10,Thursday,0,06-11 Morning,Instagram,Story,Story / interactive,Fitness,1,1,Fitness,Macro,3,430456,200k-1M,4399,125,33,787,21640,5344,4557,1.06,1.241474,24.695009,3.789279,3.636784,0.152495,0.577634,20.328096,12.414742,0.050272,26,21-30,1064,Neutral,1,0
POST_02919,2024-01-04 12:44:00,2024-01-04,2024-01,12,Thursday,0,12-17 Afternoon,Twitter,Thread,Text / long-form,Fitness,1,1,Fitness,Macro,3,120825,50k-200k,2837,260,1505,332,47775,4934,4602,3.81,4.083592,10.327577,3.845107,0.694924,3.150183,0.544218,5.938252,40.83592,0.395407,21,21-30,880,Neutral,1,1
POST_02915,2024-01-04 16:45:00,2024-01-04,2024-01,16,Thursday,0,12-17 Afternoon,Instagram,Reel,Short video,Food,1,0,Other,Macro,3,202126,200k-1M,1974,308,125,662,21531,3069,2407,1.19,1.51836,14.253867,3.655195,3.074637,0.580558,1.430496,9.168176,15.183598,0.106523,20,11-20,175,Positive,1,0
POST_04272,2024-01-04 20:52:00,2024-01-04,2024-01,20,Thursday,0,18-23 Evening,YouTube,Live,Live,Travel,0,0,Other,Macro,3,364855,200k-1M,19612,881,609,3392,22497,24494,21102,5.78,6.713352,108.876739,17.784594,15.077566,2.707028,3.916078,87.176068,67.133519,0.06166,15,11-20,185,Positive,1,0
POST_01023,2024-01-04 23:13:00,2024-01-04,2024-01,23,Thursday,0,18-23 Evening,YouTube,Video,Short video,Gaming,1,0,Other,Macro,3,488156,200k-1M,6523,343,247,98,886932,7211,7113,1.46,1.477192,0.813027,0.038898,0.011049,0.027849,0.038673,0.735457,14.771917,1.816903,29,21-30,20,Neutral,1,0
POST_02704,2024-01-05 09:59:00,2024-01-05,2024-01,9,Friday,0,06-11 Morning,Instagram,Reel,Short video,Food,0,0,Other,Macro,3,140434,50k-200k,6327,440,130,289,935,7186,6897,4.91,5.116994,768.55615,44.812834,30.909091,13.903743,47.058824,676.684492,51.169945,0.006658,8,6-10,588,Neutral,1,1
POST_02032,2024-01-05 10:15:00,2024-01-05,2024-01,10,Friday,0,06-11 Morning,Facebook,Story,Story / interactive,Lifestyle,0,0,Other,Nano,0,3383,<10k,2672,360,464,659,2203,4155,3496,103.34,122.819982,188.606446,50.975942,29.913754,21.062188,16.341353,121.289151,1228.199823,0.651197,17,11-20,484,Neutral,1,0
POST_01750,2024-01-05 14:17:00,2024-01-05,2024-01,14,Friday,0,12-17 Afternoon,Instagram,Carousel,Static image,Fitness,1,1,Fitness,Macro,3,117460,50k-200k,1687,73,134,732,41648,2626,1894,1.61,2.235655,6.305225,2.079332,1.757587,0.321744,0.175279,4.050615,22.356547,0.354572,11,11-20,1798,Positive,1,0
POST_03565,2024-01-06 12:07:00,2024-01-06,2024-01,12,Saturday,1,12-17 Afternoon,Facebook,Live,Live,Business,1,0,Other,Macro,3,414100,200k-1M,1784,227,117,192,77227,2320,2128,0.51,0.560251,3.004131,0.400119,0.248618,0.151501,0.293939,2.310073,5.602511,0.186494,27,21-30,524,Neutral,1,1
POST_03697,2024-01-06 14:21:00,2024-01-06,2024-01,14,Saturday,1,12-17 Afternoon,YouTube,Short,Short video,Lifestyle,1,0,Other,Mid-tier,2,79923,50k-200k,9264,590,1840,1210,720597,12904,11694,14.63,16.14554,1.790737,0.42326,0.167916,0.255344,0.081877,1.285601,161.455401,9.016141,1,1-5,566,Neutral,1,1
POST_04392,2024-01-06 17:28:00,2024-01-06,2024-01,17,Saturday,1,12-17 Afternoon,Facebook,Post,Text / long-form,Lifestyle,1,0,Other,Macro,3,373777,200k-1M,6896,135,201,354,65197,7586,7232,1.93,2.029552,11.635505,0.851266,0.54297,0.308296,0.207065,10.577174,20.295524,0.174428,22,21-30,1979,Positive,0,1
POST_02615,2024-01-06 19:56:00,2024-01-06,2024-01,19,Saturday,1,18-23 Evening,Twitter,Tweet,Text / long-form,Fashion,1,0,Other,Macro,3,499327,200k-1M,156,131,1223,121,75745,1631,1510,0.3,0.32664,2.153277,1.774375,0.159747,1.614628,0.172949,0.205954,3.266397,0.151694,13,11-20,622,Neutral,1,0
POST_04168,2024-01-07 02:55:00,2024-01-07,2024-01,2,Sunday,1,00-05 Late night,Instagram,Reel,Short video,Lifestyle,1,0,Other,Macro,3,331405,200k-1M,8448,490,202,993,29382,10133,9140,2.76,3.057588,34.487101,4.067116,3.37962,0.687496,1.667688,28.752297,30.575881,0.088659,7,6-10,53,Positive,1,1
POST_02667,2024-01-07 03:43:00,2024-01-07,2024-01,3,Sunday,1,00-05 Late night,Instagram,Story,Story / interactive,Fashion,0,0,Other,Macro,3,476563,200k-1M,1242,270,186,524,833,2222,1698,0.36,0.466255,266.746699,85.234094,62.905162,22.328932,32.412965,149.09964,4.662552,0.001748,12,11-20,565,Positive,1,0
POST_00013,2024-01-07 05:44:00,2024-01-07,2024-01,5,Sunday,1,00-05 Late night,TikTok,Video,Short video,Fitness,1,1,Fitness,Macro,3,458682,200k-1M,37311,858,4513,2823,439758,45505,42682,9.31,9.920817,10.347737,1.66819,0.641944,1.026246,0.195107,8.484439,99.208166,0.958743,22,21-30,598,Positive,1,0
POST_00600,2024-01-07 05:55:00,2024-01-07,2024-01,5,Sunday,1,00-05 Late night,Instagram,Story,Story / interactive,Fashion,1,0,Other,Macro,3,364057,200k-1M,5138,49,140,245,47958,5572,5327,1.46,1.53053,11.6185,0.802786,0.510864,0.291922,0.102173,10.713541,15.305296,0.131732,2,1-5,915,Positive,1,0
POST_03649,2024-01-07 07:53:00,2024-01-07,2024-01,7,Sunday,1,06-11 Morning,Facebook,Story,Story / interactive,Travel,1,0,Other,Macro,3,479509,200k-1M,4532,332,707,391,24121,5962,5571,1.16,1.243355,24.717052,4.55205,1.620994,2.931056,1.376394,18.788607,12.433552,0.050304,8,6-10,1244,Negative,1,0
POST_02620,2024-01-07 07:56:00,2024-01-07,2024-01,7,Sunday,1,06-11 Morning,Twitter,Retweet,Text / long-form,Fitness,1,1,Fitness,Macro,3,135479,50k-200k,4492,244,997,383,24696,6116,5733,4.23,4.514353,24.765144,5.587949,1.550858,4.037091,0.988014,18.18918,45.143528,0.182287,1,1-5,311,Negative,1,1
POST_03937,2024-01-07 11:00:00,2024-01-07,2024-01,11,Sunday,1,06-11 Morning,Twitter,Retweet,Text / long-form,Fashion,1,0,Other,Micro,1,47435,10k-50k,3186,177,1551,16,27503,4930,4914,10.36,10.39317,17.925317,5.69756,0.058175,5.639385,0.643566,11.584191,103.931696,0.579804,23,21-30,818,Neutral,1,0
POST_00255,2024-01-07 11:19:00,2024-01-07,2024-01,11,Sunday,1,06-11 Morning,Instagram,Carousel,Static image,Health,0,1,Health,Macro,3,373732,200k-1M,9902,174,48,226,760,10350,10124,2.71,2.769364,1361.842105,36.052632,29.736842,6.315789,22.894737,1302.894737,27.693641,0.002034,21,21-30,188,Negative,1,1
POST_01458,2024-01-07 13:01:00,2024-01-07,2024-01,13,Sunday,1,12-17 Afternoon,LinkedIn,Article,Text / long-form,Gaming,1,0,Other,Macro,3,309232,200k-1M,615,72,309,208,18554,1204,996,0.32,0.389352,6.489167,2.786461,1.121052,1.665409,0.388056,3.314649,3.893517,0.06,10,6-10,905,Neutral,1,0
POST_01115,2024-01-07 13:08:00,2024-01-07,2024-01,13,Sunday,1,12-17 Afternoon,Facebook,Live,Live,Health,1,1,Health,Macro,3,352767,200k-1M,6283,165,569,522,49857,7539,7017,1.99,2.137105,15.121247,2.188258,1.046994,1.141264,0.330947,12.602042,21.371047,0.141331,10,6-10,523,Positive,1,1
POST_04061,2024-01-08 04:28:00,2024-01-08,2024-01,4,Monday,0,00-05 Late night,Twitter,Tweet,Text / long-form,Lifestyle,1,0,Other,Macro,3,484615,200k-1M,280,240,940,119,50483,1579,1460,0.3,0.325826,3.127786,2.097736,0.235723,1.862013,0.475408,0.554642,3.258257,0.104171,6,6-10,1692,Positive,1,0
POST_02972,2024-01-08 05:59:00,2024-01-08,2024-01,5,Monday,0,00-05 Late night,Instagram,Reel,Short video,Travel,1,0,Other,Macro,3,371362,200k-1M,545,440,95,238,46180,1318,1080,0.29,0.35491,2.854049,0.721091,0.515375,0.205717,0.952793,1.180165,3.549098,0.124353,6,6-10,561,Positive,1,1
POST_00620,2024-01-08 06:19:00,2024-01-08,2024-01,6,Monday,0,06-11 Morning,LinkedIn,Article,Text / long-form,Lifestyle,1,0,Other,Macro,3,309567,200k-1M,1635,90,194,248,14227,2167,1919,0.62,0.70001,15.231602,3.106769,1.743164,1.363604,0.6326,11.492233,7.0001,0.045958,24,21-30,863,Neutral,1,0
POST_02131,2024-01-08 18:33:00,2024-01-08,2024-01,18,Monday,0,18-23 Evening,Instagram,Carousel,Static image,Health,1,1,Health,Micro,1,44931,10k-50k,6342,62,163,486,23890,7053,6567,14.62,15.697403,29.522813,2.716618,2.034324,0.682294,0.259523,26.546672,156.974027,0.531704,20,11-20,537,Positive,1,0
POST_01977,2024-01-08 20:04:00,2024-01-08,2024-01,20,Monday,0,18-23 Evening,Twitter,Poll,Story / interactive,Fashion,1,0,Other,Macro,3,119901,50k-200k,145,183,223,282,1947,833,551,0.46,0.69474,42.78377,25.937339,14.483821,11.453518,9.399076,7.447355,6.947398,0.016238,8,6-10,180,Positive,1,0
POST_04253,2024-01-08 21:37:00,2024-01-08,2024-01,21,Monday,0,18-23 Evening,Twitter,Poll,Story / interactive,Health,1,1,Health,Micro,1,26858,10k-50k,4073,129,1122,425,96934,5749,5324,19.82,21.405168,5.93084,1.595931,0.438443,1.157489,0.13308,4.201828,214.051679,3.609129,26,21-30,1660,Negative,1,1
POST_02226,2024-01-09 00:43:00,2024-01-09,2024-01,0,Tuesday,0,00-05 Late night,Facebook,Live,Live,Entertainment,1,0,Other,Macro,3,321725,200k-1M,3270,132,535,754,10351,4691,3937,1.22,1.458078,45.319293,12.452903,7.28432,5.168583,1.275239,31.591151,14.580776,0.032173,24,21-30,358,Negative,1,1
POST_02509,2024-01-09 02:24:00,2024-01-09,2024-01,2,Tuesday,0,00-05 Late night,TikTok,Video,Short video,Business,1,0,Other,Macro,3,185278,50k-200k,33034,309,2036,2609,242685,37988,35379,19.1,20.503244,15.653213,1.914004,1.075056,0.838948,0.127326,13.611884,205.032438,1.309843,18,11-20,478,Negative,0,0
POST_00885,2024-01-09 03:27:00,2024-01-09,2024-01,3,Tuesday,0,00-05 Late night,TikTok,Duet,Short video,Fashion,1,0,Other,Macro,3,371740,200k-1M,8731,994,1938,577,75043,12240,11663,3.14,3.292624,16.310649,3.351412,0.768893,2.582519,1.324574,11.634663,32.926239,0.20187,24,21-30,491,Neutral,1,0
POST_03590,2024-01-09 03:40:00,2024-01-09,2024-01,3,Tuesday,0,00-05 Late night,Instagram,Carousel,Static image,Food,0,0,Other,Micro,1,47275,10k-50k,7684,20,151,125,3713,7980,7855,16.62,16.879958,214.920549,7.433342,3.36655,4.066792,0.538648,206.948559,168.799577,0.07854,28,21-30,726,Negative,1,0
POST_01451,2024-01-09 11:12:00,2024-01-09,2024-01,11,Tuesday,0,06-11 Morning,Facebook,Story,Story / interactive,Entertainment,1,0,Other,Macro,3,257653,200k-1M,5232,366,371,558,10075,6527,5969,2.32,2.533252,64.784119,9.220844,5.538462,3.682382,3.632754,51.930521,25.332521,0.039103,11,11-20,1512,Positive,1,0
POST_04753,2024-01-09 11:48:00,2024-01-09,2024-01,11,Tuesday,0,06-11 Morning,LinkedIn,Post,Text / long-form,Health,1,1,Health,Macro,3,277798,200k-1M,472,94,425,112,18259,1103,991,0.36,0.397051,6.040857,2.941015,0.613396,2.327619,0.514815,2.585027,3.970511,0.065728,18,11-20,755,Positive,1,0
POST_03402,2024-01-09 12:59:00,2024-01-09,2024-01,12,Tuesday,0,12-17 Afternoon,Instagram,Story,Story / interactive,Technology,1,0,Other,Macro,3,477456,200k-1M,8440,165,264,483,37752,9352,8869,1.86,1.958715,24.772197,1.978703,1.279402,0.699301,0.437063,22.356431,19.587145,0.079069,3,1-5,965,Negative,1,0
POST_04525,2024-01-09 13:30:00,2024-01-09,2024-01,13,Tuesday,0,12-17 Afternoon,TikTok,Stitch,Short video,Lifestyle,1,0,Other,Micro,1,10027,10k-50k,46571,441,758,1829,302431,49599,47770,476.41,494.654433,16.400104,0.855402,0.604766,0.250636,0.145818,15.398884,4946.54433,30.161664,19,11-20,272,Positive,1,0
POST_03917,2024-01-09 16:37:00,2024-01-09,2024-01,16,Tuesday,0,12-17 Afternoon,LinkedIn,Poll,Story / interactive,Health,1,1,Health,Mid-tier,2,74896,50k-200k,794,7,127,32,14918,960,928,1.24,1.281777,6.435179,1.065827,0.214506,0.851321,0.046923,5.322429,12.817774,0.199183,20,11-20,1079,Neutral,0,1
POST_00483,2024-01-09 18:55:00,2024-01-09,2024-01,18,Tuesday,0,18-23 Evening,Facebook,Video,Short video,Sports,1,1,Sports,Macro,3,497216,200k-1M,4283,106,38,646,73605,5073,4427,0.89,1.020281,6.892195,0.929285,0.877658,0.051627,0.144012,5.818898,10.202809,0.148034,5,1-5,291,Positive,1,1
POST_02783,2024-01-09 19:32:00,2024-01-09,2024-01,19,Tuesday,0,18-23 Evening,YouTube,Community Post,Text / long-form,Education,1,0,Other,Macro,3,272386,200k-1M,13734,469,172,4479,726267,18854,14375,5.28,6.921795,2.596015,0.640398,0.616715,0.023683,0.064577,1.89104,69.217948,2.666315,2,1-5,339,Positive,1,0
POST_00147,2024-01-09 21:52:00,2024-01-09,2024-01,21,Tuesday,0,18-23 Evening,Facebook,Video,Short video,Gaming,1,0,Other,Mid-tier,2,93599,50k-200k,3309,303,203,590,21871,4405,3815,4.08,4.706247,20.140826,3.625806,2.697636,0.92817,1.385396,15.129624,47.062469,0.233667,8,6-10,347,Negative,1,1
POST_01364,2024-01-09 22:21:00,2024-01-09,2024-01,22,Tuesday,0,18-23 Evening,Facebook,Live,Live,Business,1,0,Other,Macro,3,235288,200k-1M,6830,129,742,78,57034,7779,7701,3.27,3.306161,13.639233,1.437739,0.136761,1.300978,0.226181,11.975313,33.06161,0.242401,16,11-20,42,Neutral,1,0
POST_02243,2024-01-10 05:26:00,2024-01-10,2024-01,5,Wednesday,0,00-05 Late night,Facebook,Live,Live,Sports,1,1,Sports,Macro,3,382495,200k-1M,478,266,811,562,76686,2117,1555,0.41,0.553471,2.760608,1.790418,0.732859,1.057559,0.346869,0.623321,5.534713,0.200489,22,21-30,490,Positive,1,0
POST_01461,2024-01-10 10:00:00,2024-01-10,2024-01,10,Wednesday,0,06-11 Morning,Twitter,Thread,Text / long-form,Fitness,1,1,Fitness,Macro,3,351032,200k-1M,4449,21,209,448,57922,5127,4679,1.33,1.460551,8.851559,1.134284,0.773454,0.36083,0.036256,7.681019,14.605506,0.165005,29,21-30,303,Neutral,1,0
POST_04354,2024-01-10 11:46:00,2024-01-10,2024-01,11,Wednesday,0,06-11 Morning,YouTube,Community Post,Text / long-form,Lifestyle,1,0,Other,Macro,3,384995,200k-1M,4676,219,376,4140,470105,9411,5271,1.37,2.444447,2.001893,0.960636,0.880654,0.079982,0.046585,0.994671,24.444473,1.221068,5,1-5,1444,Neutral,1,0
POST_00471,2024-01-10 14:57:00,2024-01-10,2024-01,14,Wednesday,0,12-17 Afternoon,Instagram,Photo,Static image,Technology,1,0,Other,Macro,3,404723,200k-1M,9883,67,77,382,43316,10409,10027,2.48,2.571882,24.030381,1.059655,0.881891,0.177763,0.154677,22.816049,25.718825,0.107026,15,11-20,695,Negative,0,0
POST_04025,2024-01-10 15:51:00,2024-01-10,2024-01,15,Wednesday,0,12-17 Afternoon,LinkedIn,Poll,Story / interactive,Lifestyle,1,0,Other,Macro,3,406984,200k-1M,1895,17,158,205,15208,2275,2070,0.51,0.55899,14.959232,2.386902,1.347975,1.038927,0.111783,12.460547,5.5899,0.037368,7,6-10,866,Neutral,0,1
POST_04594,2024-01-10 16:29:00,2024-01-10,2024-01,16,Wednesday,0,12-17 Afternoon,Twitter,Thread,Text / long-form,Education,1,0,Other,Macro,3,245639,200k-1M,400,4,1034,106,45335,1544,1438,0.59,0.628565,3.405757,2.514613,0.233815,2.280799,0.008823,0.882321,6.285647,0.184559,15,11-20,228,Neutral,1,0
POST_03823,2024-01-10 21:11:00,2024-01-10,2024-01,21,Wednesday,0,18-23 Evening,TikTok,Stitch,Short video,Entertainment,1,0,Other,Mid-tier,2,52432,50k-200k,35475,1898,2937,1847,187442,42157,40310,76.88,80.403189,22.49069,2.552256,0.985371,1.566885,1.01258,18.925854,804.031889,3.574954,6,6-10,87,Positive,1,0
POST_04447,2024-01-10 21:32:00,2024-01-10,2024-01,21,Wednesday,0,18-23 Evening,Instagram,Photo,Static image,Food,1,0,Other,Macro,3,435000,200k-1M,5088,262,199,660,14888,6209,5549,1.28,1.427356,41.704729,5.769747,4.4331,1.336647,1.759807,34.175175,14.273563,0.034225,9,6-10,1786,Neutral,0,0
POST_02198,2024-01-10 22:53:00,2024-01-10,2024-01,22,Wednesday,0,18-23 Evening,TikTok,Duet,Short video,Lifestyle,1,0,Other,Macro,3,279271,200k-1M,32338,66,969,2703,479514,36076,33373,11.95,12.917918,7.523451,0.765775,0.563696,0.20208,0.013764,6.743912,129.179184,1.71702,18,11-20,447,Positive,1,0
POST_02303,2024-01-11 00:33:00,2024-01-11,2024-01,0,Thursday,0,00-05 Late night,Facebook,Live,Live,Sports,1,1,Sports,Macro,3,261013,200k-1M,3204,107,380,489,57955,4180,3691,1.41,1.601453,7.212492,1.499439,0.843758,0.655681,0.184626,5.528427,16.014528,0.222039,13,11-20,573,Positive,1,0
POST_04612,2024-01-11 11:14:00,2024-01-11,2024-01,11,Thursday,0,06-11 Morning,Instagram,Story,Story / interactive,Health,1,1,Health,Nano,0,892,<10k,2366,255,107,535,32084,3263,2728,305.83,365.807175,10.170178,2.000997,1.667498,0.3335,0.794789,7.374392,3658.071749,35.96861,21,21-30,1100,Neutral,1,1
POST_03896,2024-01-11 14:24:00,2024-01-11,2024-01,14,Thursday,0,12-17 Afternoon,TikTok,Duet,Short video,Technology,1,0,Other,Macro,3,225519,200k-1M,30187,821,4505,2764,71771,38277,35513,15.75,16.972849,53.332126,10.128046,3.851138,6.276909,1.143916,42.060164,169.728493,0.318248,5,1-5,152,Neutral,1,0
POST_02056,2024-01-11 21:15:00,2024-01-11,2024-01,21,Thursday,0,18-23 Evening,LinkedIn,Article,Text / long-form,Sports,1,1,Sports,Macro,3,333768,200k-1M,170,19,259,143,25386,591,448,0.13,0.177069,2.328055,1.58355,0.563303,1.020247,0.074844,0.66966,1.770691,0.076059,13,11-20,931,Neutral,1,1
POST_03661,2024-01-11 22:51:00,2024-01-11,2024-01,22,Thursday,0,18-23 Evening,Facebook,Post,Text / long-form,Food,1,0,Other,Micro,1,30230,10k-50k,6580,9,900,646,31319,8135,7489,24.77,26.910354,25.974648,4.936301,2.062646,2.873655,0.028737,21.009611,269.10354,1.036024,24,21-30,1861,Neutral,1,0
POST_00991,2024-01-12 08:41:00,2024-01-12,2024-01,8,Friday,0,06-11 Morning,TikTok,Video,Short video,Health,1,1,Health,Mid-tier,2,86675,50k-200k,31852,1590,801,616,323063,34859,34243,39.51,40.218056,10.790155,0.438614,0.190675,0.247939,0.492164,9.859377,402.18056,3.727292,28,21-30,21,Positive,1,0
POST_04724,2024-01-12 12:53:00,2024-01-12,2024-01,12,Friday,0,12-17 Afternoon,Twitter,Poll,Story / interactive,Health,1,1,Health,Macro,3,466337,200k-1M,2640,172,1471,329,29943,4612,4283,0.92,0.988984,15.402598,6.011422,1.098754,4.912667,0.574425,8.816752,9.889844,0.064209,16,11-20,1184,Neutral,0,0
POST_02826,2024-01-12 15:29:00,2024-01-12,2024-01,15,Friday,0,12-17 Afternoon,TikTok,Duet,Short video,Gaming,0,0,Other,Macro,3,452037,200k-1M,25781,1671,3381,224,20430,31057,30833,6.82,6.870455,152.016642,17.645619,1.096427,16.549192,8.179148,126.191875,68.704553,0.045195,26,21-30,16,Neutral,0,1
